feature,coef,abs_coef
CouncilArea_Macedon Ranges Shire Council,0.5479462584638388,0.5479462584638388
CouncilArea_Wyndham City Council,-0.4851334997707647,0.4851334997707647
CouncilArea_Bayside City Council,0.48490903725935686,0.48490903725935686
Type_h,0.45397325400463395,0.45397325400463395
CouncilArea_Boroondara City Council,0.3758088267781129,0.3758088267781129
CouncilArea_Stonnington City Council,0.3704676225213651,0.3704676225213651
CouncilArea_Melton City Council,-0.3621202385113169,0.3621202385113169
CouncilArea_Brimbank City Council,-0.3280004337849527,0.3280004337849527
CouncilArea_Frankston City Council,0.30467511640289335,0.30467511640289335
Type_t,0.2861421656006829,0.2861421656006829
CouncilArea_Kingston City Council,0.2532159251346572,0.2532159251346572
CouncilArea_Cardinia Shire Council,0.23990475036608294,0.23990475036608294
CouncilArea_Mitchell Shire Council,0.23534449793667633,0.23534449793667633
CouncilArea_Glen Eira City Council,0.22495586567989495,0.22495586567989495
CouncilArea_Port Phillip City Council,0.2150331291681905,0.2150331291681905
