Model,MAE,RMSE,R2
OLS Full,217209.11758571607,388056.8189021928,0.6475902756410776
OLS Selected,281814.0666038642,509168.25218788564,0.39329178079477833
Ridge,217255.01251867504,388230.1429586148,0.647275400495039
